ID	LENGTH	OVERLAP	ERROR	PVALUE
ERR346600.2	401	101	0.0099	1.1102e-16
ERR346600.3	386	116	0.0603	1.1102e-16
ERR346600.6	386	116	0.0172	1.1102e-16
ERR346600.1	407	95	0.0526	1.1102e-16
ERR346600.4	413	89	0.6404	1.0854e-02
ERR346600.7	392	110	0.0364	1.1102e-16
ERR346600.8	398	104	0.0288	1.1102e-16
ERR346600.9	386	116	0.0603	1.1102e-16
ERR346600.5	398	104	0.0000	1.1102e-16
ERR346600.11	392	110	0.1545	1.1102e-16
ERR346600.13	410	92	0.0000	1.1102e-16
ERR346600.10	392	110	0.0182	1.1102e-16
ERR346600.12	394	108	0.0093	1.1102e-16
ERR346600.14	413	89	0.0000	1.1102e-16
ERR346600.15	410	92	0.1304	1.1102e-16
ERR346600.16	392	110	0.0545	1.1102e-16
ERR346600.17	398	104	0.0096	1.1102e-16
ERR346600.19	401	101	0.0198	1.1102e-16
ERR346600.21	401	101	0.0000	1.1102e-16
ERR346600.20	398	104	0.0096	1.1102e-16
ERR346600.18	398	104	0.0000	1.1102e-16
ERR346600.22	386	116	0.1466	1.1102e-16
ERR346600.23	391	111	0.3514	1.1060e-16
ERR346600.24	398	104	0.0000	1.1102e-16
ERR346600.25	404	98	0.0306	1.1102e-16
ERR346600.26	389	113	0.0177	1.1102e-16
ERR346600.28	395	107	0.0093	1.1102e-16
ERR346600.27	398	104	0.0865	1.1102e-16
ERR346600.30	392	110	0.0364	1.1102e-16
ERR346600.29	386	116	0.0172	1.1102e-16
ERR346600.31	386	116	0.1724	1.1102e-16
ERR346600.32	398	104	0.0000	1.1102e-16
ERR346600.34	392	110	0.0000	1.1102e-16
ERR346600.35	392	110	0.0182	1.1102e-16
ERR346600.33	398	104	0.0577	1.1102e-16
ERR346600.36	410	92	0.0109	1.1102e-16
ERR346600.37	410	92	0.0109	1.1102e-16
ERR346600.38	404	98	0.0102	1.1102e-16
ERR346600.41	404	98	0.1327	1.1102e-16
ERR346600.40	395	107	0.1121	1.1102e-16
ERR346600.42	386	116	0.0172	1.1102e-16
ERR346600.39	404	98	0.0000	1.1102e-16
ERR346600.43	398	104	0.0192	1.1102e-16
ERR346600.45	386	116	0.0000	1.1102e-16
ERR346600.44	401	101	0.0495	1.1102e-16
ERR346600.46	386	116	0.0086	1.1102e-16
ERR346600.47	392	110	0.0364	1.1102e-16
ERR346600.48	389	113	0.0000	1.1102e-16
ERR346600.49	392	110	0.0182	1.1102e-16
ERR346600.50	401	101	0.0000	1.1102e-16
ERR346600.51	401	101	0.0495	1.1102e-16
ERR346600.52	386	116	0.0086	1.1102e-16
ERR346600.55	369	133	0.2782	1.1102e-16
ERR346600.54	401	101	0.0198	1.1102e-16
ERR346600.53	413	89	0.0112	1.1102e-16
ERR346600.57	404	98	0.0510	1.1102e-16
ERR346600.58	410	92	0.0326	1.1102e-16
ERR346600.56	395	107	0.0000	1.1102e-16
ERR346600.60	401	101	0.2574	1.1102e-16
ERR346600.61	383	119	0.0000	1.1102e-16
ERR346600.59	410	92	0.0000	1.1102e-16
ERR346600.63	392	110	0.2273	1.1102e-16
ERR346600.64	404	98	0.1633	1.1102e-16
ERR346600.62	398	104	0.0096	1.1102e-16
ERR346600.66	413	89	0.0337	1.1102e-16
ERR346600.67	401	101	0.0693	1.1102e-16
ERR346600.65	389	113	0.0708	1.1102e-16
ERR346600.69	404	98	0.0612	1.1102e-16
ERR346600.70	398	104	0.2308	1.1102e-16
ERR346600.68	392	110	0.0000	1.1102e-16
ERR346600.73	395	107	0.0467	1.1102e-16
ERR346600.74	408	94	0.1489	1.1102e-16
ERR346600.72	404	98	0.0612	1.1102e-16
ERR346600.71	398	104	0.0000	1.1102e-16
ERR346600.77	392	110	0.1182	1.1102e-16
ERR346600.76	401	101	0.0990	1.1102e-16
ERR346600.75	395	107	0.0467	1.1102e-16
ERR346600.78	395	107	0.0000	1.1102e-16
ERR346600.79	401	101	0.0297	1.1102e-16
ERR346600.82	401	101	0.0297	1.1102e-16
ERR346600.81	395	107	0.0000	1.1102e-16
ERR346600.80	396	106	0.0660	1.1102e-16
ERR346600.83	401	101	0.0099	1.1102e-16
ERR346600.84	410	92	0.0435	1.1102e-16
ERR346600.86	398	104	0.0000	1.1102e-16
ERR346600.85	386	116	0.0172	1.1102e-16
ERR346600.88	392	110	0.0000	1.1102e-16
ERR346600.87	392	110	0.0182	1.1102e-16
ERR346600.89	386	116	0.0172	1.1102e-16
ERR346600.90	392	110	0.0364	1.1102e-16
ERR346600.92	261	241	0.6805	7.5517e-03
ERR346600.91	392	110	0.0273	1.1102e-16
ERR346600.93	392	110	0.0182	1.1102e-16
ERR346600.94	404	98	0.0816	1.1102e-16
ERR346600.95	404	98	0.0510	1.1102e-16
ERR346600.97	410	92	0.0109	1.1102e-16
ERR346600.98	398	104	0.0192	1.1102e-16
ERR346600.96	410	92	0.0978	1.1102e-16
ERR346600.102	395	107	0.1215	1.1102e-16
ERR346600.99	398	104	0.0000	1.1102e-16
ERR346600.100	395	107	0.0280	1.1102e-16
ERR346600.103	398	104	0.0673	1.1102e-16
ERR346600.105	410	92	0.0543	1.1102e-16
ERR346600.104	397	105	0.0000	1.1102e-16
ERR346600.101	401	101	0.0198	1.1102e-16
ERR346600.106	386	116	0.0000	1.1102e-16
ERR346600.108	383	119	0.0168	1.1102e-16
ERR346600.109	395	107	0.0000	1.1102e-16
ERR346600.112	400	102	0.0490	1.1102e-16
ERR346600.107	401	101	0.0099	1.1102e-16
ERR346600.113	395	107	0.0187	1.1102e-16
ERR346600.111	386	116	0.0000	1.1102e-16
ERR346600.110	398	104	0.0000	1.1102e-16
ERR346600.115	398	104	0.0577	1.1102e-16
ERR346600.114	386	116	0.0086	1.1102e-16
ERR346600.116	386	116	0.0259	1.1102e-16
ERR346600.117	395	107	0.0654	1.1102e-16
ERR346600.120	389	113	0.0177	1.1102e-16
ERR346600.118	398	104	0.0000	1.1102e-16
ERR346600.119	398	104	0.0192	1.1102e-16
ERR346600.121	392	110	0.0273	1.1102e-16
ERR346600.122	389	113	0.0000	1.1102e-16
ERR346600.125	410	92	0.0109	1.1102e-16
ERR346600.126	392	110	0.0182	1.1102e-16
ERR346600.123	401	101	0.2673	1.1102e-16
ERR346600.124	395	107	0.0280	1.1102e-16
ERR346600.127	395	107	0.0093	1.1102e-16
ERR346600.128	389	113	0.0088	1.1102e-16
ERR346600.131	401	101	0.0198	1.1102e-16
ERR346600.129	389	113	0.4425	2.0852e-12
ERR346600.132	398	104	0.0000	1.1102e-16
ERR346600.130	392	110	0.0000	1.1102e-16
ERR346600.133	392	110	0.0000	1.1102e-16
ERR346600.135	339	163	0.6380	7.6071e-04
ERR346600.137	410	92	0.0109	1.1102e-16
ERR346600.134	395	107	0.0093	1.1102e-16
ERR346600.138	398	104	0.0096	1.1102e-16
ERR346600.139	398	104	0.0096	1.1102e-16
ERR346600.136	398	104	0.0000	1.1102e-16
ERR346600.141	407	95	0.0000	1.1102e-16
ERR346600.142	401	101	0.0198	1.1102e-16
ERR346600.140	410	92	0.0217	1.1102e-16
ERR346600.143	392	110	0.0364	1.1102e-16
ERR346600.144	395	107	0.0374	1.1102e-16
ERR346600.145	395	107	0.2617	1.1102e-16
ERR346600.148	398	104	0.0288	1.1102e-16
ERR346600.149	380	122	0.0246	1.1102e-16
