ID	DUPCOUNT	CPRIMER	VPRIMER
ERR346600.3151	18	IgG	IgH-fw1,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.1477	6	IgG	IgH-fw10,IgH-fw9
ERR346600.12740	3	IgG	IgH-fw11,IgH-fw6,IgH-fw9
ERR346600.21397	2	IgG	IgH-fw2,IgH-fw9
ERR346600.24817	26	IgG	IgH-fw1,IgH-fw10,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.137	8	IgG	IgH-fw1,IgH-fw10,IgH-fw15,IgH-fw2,IgH-fw9
ERR346600.19689	2	IgG	IgH-fw10,IgH-fw9
ERR346600.23835	4	IgG	IgH-fw1,IgH-fw12,IgH-fw9
ERR346600.15568	5	IgG	IgH-fw10,IgH-fw5,IgH-fw9
ERR346600.5896	11	IgG	IgH-fw10,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw6,IgH-fw9
ERR346600.22619	2	IgG	IgH-fw3,IgH-fw5
ERR346600.22591	4	IgG	IgH-fw1,IgH-fw11,IgH-fw12,IgH-fw8
ERR346600.10533	13	IgG	IgH-fw1,IgH-fw10,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw7
ERR346600.2152	10	IgG	IgH-fw1,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.15199	7	IgG	IgH-fw10,IgH-fw12,IgH-fw13,IgH-fw8,IgH-fw9
ERR346600.14877	3	IgG	IgH-fw1,IgH-fw9
ERR346600.16839	4	IgG	IgH-fw1,IgH-fw10,IgH-fw3,IgH-fw6
ERR346600.22795	90	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.13036	19	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw4,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.16850	8	IgG	IgH-fw1,IgH-fw10,IgH-fw17,IgH-fw3,IgH-fw4,IgH-fw8,IgH-fw9
ERR346600.21116	11	IgG	IgH-fw10,IgH-fw11,IgH-fw15,IgH-fw2,IgH-fw9
ERR346600.8258	76	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw8,IgH-fw9
ERR346600.10779	8	IgG	IgH-fw1,IgH-fw15,IgH-fw17,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.22731	86	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.5498	8	IgG	IgH-fw10,IgH-fw15,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.12251	2	IgG	IgH-fw2,IgH-fw5
ERR346600.10112	13	IgG	IgH-fw10,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.7284	3	IgG	IgH-fw10,IgH-fw14
ERR346600.11583	62	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw13,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.828	4	IgG	IgH-fw10,IgH-fw15,IgH-fw9
ERR346600.3191	11	IgG	IgH-fw1,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw6,IgH-fw9
ERR346600.6672	4	IgG	IgH-fw10,IgH-fw2,IgH-fw3,IgH-fw6
ERR346600.21451	2	IgG	IgH-fw3,IgH-fw9
ERR346600.14076	31	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.11053	2	IgG	IgH-fw11,IgH-fw6
ERR346600.9347	2	IgG	IgH-fw5,IgH-fw9
ERR346600.16022	26	IgG	IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw8
ERR346600.19284	4	IgG	IgH-fw2,IgH-fw5,IgH-fw6
ERR346600.19891	7	IgG	IgH-fw10,IgH-fw15,IgH-fw9
ERR346600.23110	2	IgG	IgH-fw10,IgH-fw5
ERR346600.12747	12	IgG	IgH-fw10,IgH-fw12,IgH-fw13,IgH-fw17,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw7,IgH-fw9
ERR346600.9450	3	IgG	IgH-fw2,IgH-fw3
ERR346600.3823	2	IgG	IgH-fw12,IgH-fw6
ERR346600.7693	3	IgG	IgH-fw10,IgH-fw3,IgH-fw6
ERR346600.9093	3	IgG	IgH-fw1,IgH-fw3,IgH-fw6
