ID	PRIMER	ERROR
ERR346600.3|SEQORIENT=F|PRIMER=IgH-fw3	IgG	0.0
ERR346600.6|SEQORIENT=F|PRIMER=IgH-fw6	IgG	0.0
ERR346600.1|SEQORIENT=F|PRIMER=IgH-fw5	IgG	0.0
ERR346600.5|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.7|SEQORIENT=F|PRIMER=IgH-fw5	IgG	0.0
ERR346600.8|SEQORIENT=F|PRIMER=IgH-fw11	IgG	0.0
ERR346600.2|SEQORIENT=F|PRIMER=IgH-fw17	IgG	0.0
ERR346600.13|SEQORIENT=F|PRIMER=IgH-fw12	IgG	0.0
ERR346600.15|SEQORIENT=F|PRIMER=IgH-fw6	IgG	0.0
ERR346600.19|SEQORIENT=F|PRIMER=IgH-fw1	IgG	0.0
ERR346600.20|SEQORIENT=F|PRIMER=IgH-fw3	IgG	0.0
ERR346600.26|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.12|SEQORIENT=F|PRIMER=IgH-fw10	IgG	0.0
ERR346600.21|SEQORIENT=F|PRIMER=IgH-fw8	IgG	0.0
ERR346600.10|SEQORIENT=F|PRIMER=IgH-fw16	IgG	0.0
ERR346600.9|SEQORIENT=F|PRIMER=IgH-fw1	IgG	0.0
ERR346600.16|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.18|SEQORIENT=F|PRIMER=IgH-fw1	IgG	0.0
ERR346600.17|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.27|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.22|SEQORIENT=F|PRIMER=IgH-fw6	IgG	0.0
ERR346600.24|SEQORIENT=F|PRIMER=IgH-fw9	IgG	0.0
ERR346600.28|SEQORIENT=F|PRIMER=IgH-fw10	IgG	0.0
ERR346600.29|SEQORIENT=F|PRIMER=IgH-fw6	IgG	0.0
ERR346600.25|SEQORIENT=F|PRIMER=IgH-fw1	IgG	0.0
ERR346600.31|SEQORIENT=F|PRIMER=IgH-fw3	IgG	0.0
ERR346600.32|SEQORIENT=F|PRIMER=IgH-fw10	IgG	0.0
ERR346600.37|SEQORIENT=F|PRIMER=IgH-fw13	IgG	0.050000000000000044
ERR346600.34|SEQORIENT=F|PRIMER=IgH-fw6	IgG	0.0
ERR346600.40|SEQORIENT=F|PRIMER=IgH-fw9	IgG	0.050000000000000044
ERR346600.45|SEQORIENT=F|PRIMER=IgH-fw4	IgG	0.0
ERR346600.33|SEQORIENT=F|PRIMER=IgH-fw17	IgG	0.0
ERR346600.30|SEQORIENT=F|PRIMER=IgH-fw3	IgG	0.0
ERR346600.39|SEQORIENT=F|PRIMER=IgH-fw5	IgG	0.0
ERR346600.38|SEQORIENT=F|PRIMER=IgH-fw5	IgG	0.0
ERR346600.41|SEQORIENT=F|PRIMER=IgH-fw3	IgG	0.0
ERR346600.36|SEQORIENT=F|PRIMER=IgH-fw5	IgG	0.0
ERR346600.14|SEQORIENT=F|PRIMER=IgH-fw11	IgG	0.0
ERR346600.44|SEQORIENT=F|PRIMER=IgH-fw17	IgG	0.0
ERR346600.50|SEQORIENT=F|PRIMER=IgH-fw10	IgG	0.0
ERR346600.47|SEQORIENT=F|PRIMER=IgH-fw9	IgG	0.0
ERR346600.49|SEQORIENT=F|PRIMER=IgH-fw5	IgG	0.0
ERR346600.52|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.55|SEQORIENT=F|PRIMER=IgH-fw3	IgG	0.0
ERR346600.51|SEQORIENT=F|PRIMER=IgH-fw6	IgG	0.0
ERR346600.57|SEQORIENT=F|PRIMER=IgH-fw9	IgG	0.050000000000000044
ERR346600.54|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.58|SEQORIENT=F|PRIMER=IgH-fw5	IgG	0.0
ERR346600.35|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.42|SEQORIENT=F|PRIMER=IgH-fw2	IgG	0.0
ERR346600.43|SEQORIENT=F|PRIMER=IgH-fw15	IgG	0.0
ERR346600.46|SEQORIENT=F|PRIMER=IgH-fw17	IgG	0.0
