ID	PRIMER	ERROR
ERR346600.3	IgH-fw3	0.050000000000000044
ERR346600.6	IgH-fw6	0.0
ERR346600.5	IgH-fw2	0.0
ERR346600.11	IgH-fw16	0.2272727272727273
ERR346600.1	IgH-fw5	0.0
ERR346600.7	IgH-fw5	0.19999999999999996
ERR346600.8	IgH-fw11	0.09999999999999998
ERR346600.2	IgH-fw17	0.0
ERR346600.13	IgH-fw12	0.0
ERR346600.15	IgH-fw6	0.09999999999999998
ERR346600.19	IgH-fw1	0.050000000000000044
ERR346600.20	IgH-fw3	0.050000000000000044
ERR346600.17	IgH-fw2	0.0
ERR346600.26	IgH-fw2	0.050000000000000044
ERR346600.16	IgH-fw2	0.0
ERR346600.10	IgH-fw16	0.18181818181818177
ERR346600.12	IgH-fw10	0.0
ERR346600.9	IgH-fw1	0.0
ERR346600.21	IgH-fw8	0.0
ERR346600.18	IgH-fw1	0.0
ERR346600.22	IgH-fw6	0.050000000000000044
ERR346600.28	IgH-fw10	0.0
ERR346600.24	IgH-fw9	0.0
ERR346600.27	IgH-fw2	0.0
ERR346600.25	IgH-fw1	0.050000000000000044
ERR346600.29	IgH-fw6	0.0
ERR346600.34	IgH-fw6	0.0
ERR346600.32	IgH-fw10	0.0
ERR346600.31	IgH-fw3	0.0
ERR346600.37	IgH-fw13	0.0
ERR346600.33	IgH-fw17	0.0
ERR346600.14	IgH-fw11	0.0
ERR346600.38	IgH-fw5	0.0
ERR346600.30	IgH-fw3	0.0
ERR346600.40	IgH-fw9	0.050000000000000044
ERR346600.39	IgH-fw5	0.0
ERR346600.41	IgH-fw3	0.09999999999999998
ERR346600.45	IgH-fw4	0.0
ERR346600.36	IgH-fw5	0.0
ERR346600.47	IgH-fw9	0.0
ERR346600.44	IgH-fw17	0.0
ERR346600.50	IgH-fw10	0.0
ERR346600.49	IgH-fw5	0.0
ERR346600.52	IgH-fw2	0.0
ERR346600.55	IgH-fw3	0.0
ERR346600.51	IgH-fw6	0.0
ERR346600.57	IgH-fw9	0.0
ERR346600.54	IgH-fw2	0.0
ERR346600.58	IgH-fw5	0.0
ERR346600.35	IgH-fw2	0.0
ERR346600.42	IgH-fw2	0.0
ERR346600.43	IgH-fw15	0.0
ERR346600.46	IgH-fw17	0.0
ERR346600.48	IgH-fw9	0.0
ERR346600.56	IgH-fw9	0.0
ERR346600.61	IgH-fw3	0.0
ERR346600.53	IgH-fw15	0.0
ERR346600.59	IgH-fw15	0.0
ERR346600.60	IgH-fw4	0.0
ERR346600.64	IgH-fw10	0.0
ERR346600.63	IgH-fw9	0.0
ERR346600.67	IgH-fw3	0.0
ERR346600.62	IgH-fw5	0.0
ERR346600.69	IgH-fw17	0.0
ERR346600.66	IgH-fw10	0.0
ERR346600.74	IgH-fw4	0.0
ERR346600.73	IgH-fw6	0.050000000000000044
ERR346600.70	IgH-fw9	0.0
ERR346600.68	IgH-fw3	0.0
ERR346600.71	IgH-fw10	0.0
ERR346600.76	IgH-fw2	0.0
ERR346600.75	IgH-fw1	0.0
ERR346600.77	IgH-fw6	0.050000000000000044
ERR346600.72	IgH-fw5	0.0
ERR346600.65	IgH-fw3	0.0
ERR346600.79	IgH-fw13	0.0
ERR346600.78	IgH-fw1	0.0
ERR346600.82	IgH-fw1	0.0
ERR346600.81	IgH-fw9	0.0
ERR346600.80	IgH-fw3	0.0
ERR346600.84	IgH-fw12	0.0
ERR346600.86	IgH-fw3	0.0
ERR346600.85	IgH-fw3	0.0
ERR346600.89	IgH-fw1	0.0
ERR346600.90	IgH-fw2	0.0
ERR346600.83	IgH-fw5	0.0
ERR346600.91	IgH-fw5	0.0
ERR346600.88	IgH-fw5	0.0
ERR346600.94	IgH-fw5	0.0
ERR346600.93	IgH-fw2	0.0
ERR346600.87	IgH-fw10	0.0
ERR346600.95	IgH-fw4	0.0
ERR346600.96	IgH-fw5	0.0
ERR346600.97	IgH-fw5	0.0
ERR346600.99	IgH-fw9	0.0
ERR346600.102	IgH-fw4	0.0
ERR346600.103	IgH-fw5	0.0
ERR346600.100	IgH-fw2	0.0
ERR346600.98	IgH-fw10	0.0
ERR346600.105	IgH-fw2	0.0
ERR346600.106	IgH-fw3	0.30000000000000004
ERR346600.101	IgH-fw5	0.0
ERR346600.104	IgH-fw2	0.050000000000000044
ERR346600.108	IgH-fw10	0.0
ERR346600.109	IgH-fw2	0.0
ERR346600.112	IgH-fw6	0.0
ERR346600.107	IgH-fw2	0.0
ERR346600.113	IgH-fw9	0.0
ERR346600.110	IgH-fw6	0.0
ERR346600.111	IgH-fw17	0.0
ERR346600.115	IgH-fw6	0.0
ERR346600.116	IgH-fw17	0.0
ERR346600.114	IgH-fw1	0.0
ERR346600.117	IgH-fw9	0.0
ERR346600.120	IgH-fw9	0.0
ERR346600.119	IgH-fw5	0.0
ERR346600.125	IgH-fw9	0.0
ERR346600.123	IgH-fw6	0.050000000000000044
ERR346600.124	IgH-fw7	0.0
ERR346600.126	IgH-fw4	0.0
ERR346600.121	IgH-fw5	0.0
ERR346600.122	IgH-fw4	0.0
ERR346600.127	IgH-fw10	0.0
ERR346600.118	IgH-fw9	0.0
ERR346600.128	IgH-fw6	0.0
ERR346600.130	IgH-fw2	0.0
ERR346600.133	IgH-fw6	0.0
ERR346600.137	IgH-fw15	0.0
ERR346600.134	IgH-fw9	0.0
ERR346600.139	IgH-fw4	0.0
ERR346600.138	IgH-fw9	0.0
ERR346600.141	IgH-fw3	0.0
ERR346600.131	IgH-fw8	0.0
ERR346600.143	IgH-fw17	0.0
ERR346600.132	IgH-fw10	0.0
ERR346600.148	IgH-fw6	0.0
ERR346600.146	IgH-fw6	0.0
ERR346600.140	IgH-fw1	0.0
ERR346600.142	IgH-fw6	0.0
ERR346600.151	IgH-fw3	0.0
ERR346600.145	IgH-fw4	0.0
ERR346600.136	IgH-fw5	0.0
ERR346600.144	IgH-fw9	0.0
ERR346600.153	IgH-fw5	0.0
ERR346600.147	IgH-fw2	0.0
ERR346600.149	IgH-fw17	0.0
ERR346600.155	IgH-fw7	0.0
ERR346600.154	IgH-fw2	0.0
ERR346600.158	IgH-fw11	0.0
ERR346600.152	IgH-fw4	0.0
ERR346600.156	IgH-fw9	0.0
ERR346600.162	IgH-fw5	0.0
ERR346600.161	IgH-fw4	0.050000000000000044
ERR346600.167	IgH-fw8	0.0
ERR346600.164	IgH-fw10	0.0
ERR346600.157	IgH-fw10	0.0
ERR346600.159	IgH-fw1	0.0
ERR346600.168	IgH-fw6	0.0
ERR346600.163	IgH-fw6	0.0
ERR346600.166	IgH-fw6	0.0
ERR346600.165	IgH-fw2	0.0
ERR346600.160	IgH-fw1	0.0
ERR346600.169	IgH-fw9	0.0
ERR346600.172	IgH-fw3	0.0
ERR346600.171	IgH-fw1	0.0
ERR346600.173	IgH-fw6	0.0
ERR346600.170	IgH-fw6	0.0
ERR346600.174	IgH-fw15	0.0
ERR346600.176	IgH-fw2	0.0
ERR346600.179	IgH-fw5	0.0
ERR346600.177	IgH-fw5	0.0
ERR346600.150	IgH-fw3	0.0
ERR346600.183	IgH-fw2	0.0
ERR346600.175	IgH-fw4	0.0
ERR346600.178	IgH-fw4	0.0
ERR346600.180	IgH-fw3	0.0
ERR346600.185	IgH-fw9	0.0
ERR346600.184	IgH-fw6	0.0
ERR346600.181	IgH-fw1	0.0
ERR346600.182	IgH-fw4	0.0
ERR346600.186	IgH-fw9	0.0
ERR346600.188	IgH-fw16	0.0
ERR346600.187	IgH-fw12	0.0
ERR346600.191	IgH-fw5	0.0
ERR346600.190	IgH-fw3	0.0
ERR346600.194	IgH-fw8	0.0
ERR346600.189	IgH-fw3	0.0
ERR346600.195	IgH-fw5	0.0
ERR346600.199	IgH-fw10	0.0
ERR346600.193	IgH-fw4	0.0
ERR346600.196	IgH-fw10	0.0
ERR346600.200	IgH-fw2	0.0
ERR346600.198	IgH-fw5	0.0
ERR346600.201	IgH-fw2	0.0
ERR346600.203	IgH-fw12	0.0
ERR346600.202	IgH-fw9	0.0
ERR346600.206	IgH-fw2	0.0
ERR346600.204	IgH-fw11	0.0
ERR346600.208	IgH-fw1	0.0
ERR346600.207	IgH-fw11	0.0
ERR346600.209	IgH-fw12	0.0
ERR346600.205	IgH-fw17	0.0
ERR346600.210	IgH-fw11	0.0
ERR346600.216	IgH-fw2	0.0
ERR346600.214	IgH-fw5	0.0
ERR346600.211	IgH-fw3	0.0
ERR346600.213	IgH-fw1	0.0
ERR346600.217	IgH-fw9	0.0
ERR346600.215	IgH-fw5	0.0
ERR346600.218	IgH-fw9	0.0
ERR346600.212	IgH-fw3	0.0
ERR346600.224	IgH-fw1	0.0
ERR346600.220	IgH-fw4	0.0
ERR346600.219	IgH-fw4	0.0
ERR346600.222	IgH-fw16	0.0
ERR346600.223	IgH-fw6	0.0
ERR346600.225	IgH-fw1	0.0
ERR346600.226	IgH-fw9	0.0
ERR346600.221	IgH-fw11	0.0
ERR346600.229	IgH-fw1	0.0
ERR346600.231	IgH-fw6	0.0
ERR346600.232	IgH-fw9	0.0
ERR346600.230	IgH-fw6	0.0
ERR346600.227	IgH-fw1	0.0
ERR346600.237	IgH-fw5	0.0
ERR346600.234	IgH-fw2	0.0
ERR346600.233	IgH-fw11	0.0
ERR346600.228	IgH-fw4	0.0
ERR346600.239	IgH-fw3	0.050000000000000044
ERR346600.236	IgH-fw9	0.0
ERR346600.240	IgH-fw2	0.0
ERR346600.244	IgH-fw2	0.0
ERR346600.235	IgH-fw6	0.0
ERR346600.241	IgH-fw17	0.0
ERR346600.238	IgH-fw4	0.0
ERR346600.243	IgH-fw9	0.0
ERR346600.245	IgH-fw5	0.0
ERR346600.249	IgH-fw12	0.0
ERR346600.246	IgH-fw4	0.0
ERR346600.242	IgH-fw5	0.0
ERR346600.248	IgH-fw4	0.0
ERR346600.250	IgH-fw17	0.0
ERR346600.252	IgH-fw5	0.0
ERR346600.255	IgH-fw5	0.0
ERR346600.251	IgH-fw12	0.0
ERR346600.253	IgH-fw6	0.0
ERR346600.254	IgH-fw11	0.0
ERR346600.261	IgH-fw5	0.0
ERR346600.260	IgH-fw14	0.0
ERR346600.259	IgH-fw5	0.0
ERR346600.257	IgH-fw9	0.0
ERR346600.266	IgH-fw17	0.0
ERR346600.263	IgH-fw17	0.0
ERR346600.247	IgH-fw6	0.0
ERR346600.262	IgH-fw1	0.0
ERR346600.256	IgH-fw6	0.0
ERR346600.267	IgH-fw4	0.0
ERR346600.264	IgH-fw3	0.0
